item_id	source_type	title	url	evidence_type	finance_use_case	ai_technique	why_it_matters	risk_or_caveat	license_note	review_status	human_notes
github-openbb-platform	github	OpenBB Platform	https://github.com/OpenBB-finance/OpenBB	repository	Research terminal and analyst copilot surface	Tool-use agents / retrieval	Practical open-source finance workflow surface	AI integration quality varies by deployment	Verify current repo license	reviewed	Priority repo for homepage
github-microsoft-qlib	github	Microsoft Qlib	https://github.com/microsoft/qlib	repository	Quant research and portfolio benchmarking	Deep learning / time series	Bridge from ML experiments to investment workflow	Needs no-lookahead validation	Verify current repo license	reviewed	Anchor quant repo
github-finrl	github	FinRL	https://github.com/AI4Finance-Foundation/FinRL	repository	RL trading strategy experiments	Reinforcement learning	Recurring teaching base for finance RL	Demos can overstate live investability	Verify current repo license	reviewed	Useful with strong caveats
github-sec-parser-agent	github	SEC filing parser and LLM agent patterns	https://github.com/run-llama/sec-insights	repository	SEC filings analysis	RAG / document parsing	Public-domain filings are core finance AI corpus	Needs citation and hallucination controls	Verify current repo license	reviewed	Test link before launch
arxiv-fingpt	arxiv	FinGPT	https://arxiv.org/abs/2306.06031	paper	Financial sentiment and domain adaptation	LLM fine-tuning	Frames financial LLMs as data/adaptation problem	Needs task-specific evaluation	arXiv link only	reviewed	Good paper anchor
blog-finreglab-ml-credit	blog	FinRegLab machine-learning explainability and fairness in consumer lending	https://finreglab.org/reports/machine-learning-explainability/	research hub	Consumer lending underwriting and fair-lending review	Machine learning / explainability	Anchors AI credit underwriting in fairness and explainability constraints	Not a turnkey underwriting model	Public research page; summarize and link	reviewed	Fills credit underwriting gap
news-cfpb-complex-algorithms-credit	news	CFPB adverse-action notices for complex credit algorithms	https://www.consumerfinance.gov/compliance/circulars/circular-2022-03-adverse-action-notification-requirements-in-connection-with-credit-decisions-based-on-complex-algorithms/	regulatory guidance	Credit underwriting governance and adverse-action workflows	Complex algorithms / machine learning	Shows AI credit products must solve explainability and compliance	Guidance can evolve; not vendor validation	Public government guidance; cite and link	reviewed	Fills credit underwriting gap
dataset-sec-edgar	dataset	SEC EDGAR filings	https://www.sec.gov/edgar/search/	dataset	RAG over filings and risk factor diffs	Document parsing / retrieval	Highest-leverage public finance text corpus	Point-in-time correctness matters	Public government source	reviewed	Core dataset theme
hf-financial-phrasebank-reviewed	huggingface_dataset	Financial PhraseBank: sentence-level finance sentiment labels	https://huggingface.co/datasets/financial_phrasebank	Financial sentiment classification	NLP classification	Compact finance sentiment benchmark for builders and evaluators	Benchmark contamination and small-sample overfitting	Dataset-card terms and original publication terms apply	reviewed	Added as public finance/NLP dataset source.
hf-fiqa-reviewed	huggingface_dataset	FiQA: financial opinion mining and question answering dataset	https://huggingface.co/datasets/pauri32/fiqa-2018	Financial QA and opinion mining	Question answering and sentiment evaluation	Connects investor-language QA to financial NLP workflows	Dataset versions and mirrors vary	Dataset-card and original task terms apply	reviewed	Added as public finance/NLP dataset source.
kaggle-stock-tweets-reviewed	kaggle	Kaggle stock tweets dataset for sentiment experiments	https://www.kaggle.com/datasets/equinxx/stock-tweets-for-sentiment-analysis-and-prediction	Retail sentiment modeling	Text classification	Shows student/builder demand for social finance NLP datasets	Timestamp leakage, bots, ticker ambiguity	Kaggle dataset-page license applies	reviewed	Added with cautionary provenance posture.
regulator-cfpb-complaints-reviewed	regulator	CFPB consumer complaints database for credit and conduct NLP	https://www.consumerfinance.gov/data-research/consumer-complaints/	Complaint triage and conduct risk	Text classification and topic modeling	Public regulator text data for compliance and consumer finance NLP	Reporting bias and privacy context	Public regulator data terms apply	reviewed	Added as high-evidence public dataset.
dataset-fred-macro-context-reviewed	dataset	FRED macro series for finance narrative context	https://fred.stlouisfed.org/	Macro narrative context	Time-series alignment	Gives text models point-in-time macro context	Revision leakage and release-time alignment	FRED and original source terms apply	reviewed	Added as macro context dataset.
job-financial-nlp-engineer-reviewed	job	Financial NLP engineer: filings, news, and transcript automation	/jobs#financial-nlp-engineer	Research automation	RAG and extraction	Hiring signal for budget around finance text workflows	Posting freshness and metadata-only limits	Public job metadata only	reviewed	Added as representative AI + finance hiring signal.
job-quant-ml-engineer-reviewed	job	Quant ML engineer: alpha research and portfolio infrastructure	/jobs#quant-ml-engineer	Alpha research	Machine learning and time-series modeling	Hiring signal for fund-hireable quant ML skills	Job requirements vary by team maturity	Public job metadata only	reviewed	Added as representative AI + finance hiring signal.
job-ai-model-risk-reviewed	job	AI model risk specialist for regulated financial institutions	/jobs#ai-model-risk-specialist	Model risk management	Model evaluation and governance	Hiring signal for deployment constraints and governance budget	Governance demand can signal constraints as well as product opportunity	Public job metadata only	reviewed	Added as representative AI + finance hiring signal.
hf-model-finbert-tone-reviewed	huggingface_model	ProsusAI FinBERT: finance-domain sentiment model on Hugging Face	https://huggingface.co/ProsusAI/finbert	Financial sentiment classification	Transformer sentiment classification	Baseline finance-domain sentiment model for news, filings, and narrative experiments	Domain drift and label-to-return mismatch	Model-card license applies	reviewed	Added as reviewed Hugging Face model source.
hf-model-finbert-sec-reviewed	huggingface_model	yiyanghkust FinBERT variants for financial text tasks	https://huggingface.co/yiyanghkust/finbert-tone	SEC filing tone and finance text classification	Domain-specific encoder model	Finance-native encoder variants for tone and sentiment comparison	Stale vocabulary and calibration risk	Model-card license applies	reviewed	Added as reviewed Hugging Face model source.
