candidate_id	source_type	title	url	publisher	discovered_at	relevance_reason	license_guess	status	reviewer_notes	drained_at	drain_reason	drain_run_id	source_match
hf-financial-phrasebank	huggingface_dataset	Financial PhraseBank sentiment dataset	https://huggingface.co/datasets/financial_phrasebank	Hugging Face	2026-06-03T00:00:00.000Z	Candidate finance NLP sentiment dataset for review queue validation and dataset coverage.	Check dataset card and original publication terms	candidate	Needs provenance, license, leakage, and benchmark-use review.	2026-06-03T18:15:26.534713+00:00	already_in_source_library	implementation-20260604	https://huggingface.co/datasets/financial_phrasebank
kaggle-stock-tweets	kaggle	Stock market tweets dataset candidate	https://www.kaggle.com/datasets/equinxx/stock-tweets-for-sentiment-analysis-and-prediction	Kaggle	2026-06-03T00:00:00.000Z	Candidate social finance NLP dataset for sentiment and leakage-risk review.	Check Kaggle dataset license and source provenance	candidate	Needs rights and survivorship-bias review before publication.	2026-06-03T18:15:26.534713+00:00	already_in_source_library	implementation-20260604	https://www.kaggle.com/datasets/equinxx/stock-tweets-for-sentiment-analysis-and-prediction
hf-model-finbert-tone	huggingface_model	ProsusAI FinBERT model candidate	https://huggingface.co/ProsusAI/finbert	Hugging Face	2026-06-03T00:00:00.000Z	Candidate finance sentiment model for Hugging Face model coverage and risk review.	Check model card license and upstream training data terms	candidate	Needs model-card, task, finance adaptation, and deployment-risk review.	2026-06-03T18:15:26.534713+00:00	already_in_source_library	implementation-20260604	https://huggingface.co/prosusai/finbert
hf-paper-fingpt	huggingface_paper	FinGPT paper cluster candidate	https://huggingface.co/papers?query=FinGPT	Hugging Face Papers	2026-06-03T00:00:00.000Z	Candidate Hugging Face paper surface for open-source financial LLM workflows.	Paper metadata public; check linked arXiv, repo, model, and dataset terms	candidate	Needs reproducibility, linked assets, and finance-domain claim review.	2026-06-03T18:15:26.534713+00:00	already_in_source_library	implementation-20260604	https://huggingface.co/papers?query=fingpt
job-financial-nlp-engineer	job	Financial NLP engineer role candidate	https://example.com/jobs/financial-nlp-engineer	Manual job source	2026-06-03T00:00:00.000Z	Candidate AI plus finance job post showing demand for filings, news, and transcript NLP.	Public job metadata only	candidate	Needs freshness, employer, skills, and sponsor-status review.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T00:00:00.000Z
arxiv-agentic-finance	arxiv	Agentic finance research candidate	https://arxiv.org/search/?query=agentic+finance&searchtype=all	arXiv	2026-06-03T00:00:00.000Z	Candidate paper-monitoring query for AI agents applied to finance workflows.	Public arXiv metadata and abstracts	candidate	Needs paper-level selection before publication.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T00:00:00.000Z
hf-nlpbada-rag_finance_qa_dataset	huggingface_dataset	NLPBada/RAG_finance_QA_dataset	https://huggingface.co/datasets/NLPBada/RAG_finance_QA_dataset	NLPBada	2026-06-03T20:24:59.478809+00:00	Matched Hugging Face dataset query 'finance nlp' for finance/NLP monitoring.	apache-2.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.478809+00:00
hf-propfirmkey-trading-finance-glossary-nlp	huggingface_dataset	propfirmkey/trading-finance-glossary-nlp	https://huggingface.co/datasets/propfirmkey/trading-finance-glossary-nlp	propfirmkey	2026-06-03T20:24:59.478900+00:00	Matched Hugging Face dataset query 'finance nlp' for finance/NLP monitoring.	cc-by-4.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.478900+00:00
hf-turkish-nlp-datasets-economy-and-finance	huggingface_dataset	turkish-nlp-datasets/economy-and-finance	https://huggingface.co/datasets/turkish-nlp-datasets/economy-and-finance	turkish-nlp-datasets	2026-06-03T20:24:59.478935+00:00	Matched Hugging Face dataset query 'finance nlp' for finance/NLP monitoring.	cc-by-nc-4.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.478935+00:00
hf-zeroshot-twitter-financial-news-sentiment	huggingface_dataset	zeroshot/twitter-financial-news-sentiment	https://huggingface.co/datasets/zeroshot/twitter-financial-news-sentiment	zeroshot	2026-06-03T20:24:59.888099+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888099+00:00
hf-timkoornstra-financial-tweets-sentiment	huggingface_dataset	TimKoornstra/financial-tweets-sentiment	https://huggingface.co/datasets/TimKoornstra/financial-tweets-sentiment	TimKoornstra	2026-06-03T20:24:59.888157+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	MIT license per Hugging Face card	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888157+00:00
hf-jean-baptiste-financial_news_sentiment	huggingface_dataset	Jean-Baptiste/financial_news_sentiment	https://huggingface.co/datasets/Jean-Baptiste/financial_news_sentiment	Jean-Baptiste	2026-06-03T20:24:59.888188+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888188+00:00
hf-jean-baptiste-financial_news_sentiment_mixte_with_phrasebank_75	huggingface_dataset	Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75	https://huggingface.co/datasets/Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75	Jean-Baptiste	2026-06-03T20:24:59.888227+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	MIT license per Hugging Face card	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888227+00:00
hf-chiapudding-kaggle-financial-sentiment	huggingface_dataset	chiapudding/kaggle-financial-sentiment	https://huggingface.co/datasets/chiapudding/kaggle-financial-sentiment	chiapudding	2026-06-03T20:24:59.888263+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888263+00:00
hf-ydqe2-kaggle_financial_sentiment_resplit	huggingface_dataset	ydqe2/kaggle_financial_sentiment_resplit	https://huggingface.co/datasets/ydqe2/kaggle_financial_sentiment_resplit	ydqe2	2026-06-03T20:24:59.888297+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	MIT license per Hugging Face card	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888297+00:00
hf-hw2942-financial-news-sentiment	huggingface_dataset	hw2942/financial-news-sentiment	https://huggingface.co/datasets/hw2942/financial-news-sentiment	hw2942	2026-06-03T20:24:59.888326+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888326+00:00
hf-intanm-indonesian-financial-sentiment-analysis	huggingface_dataset	intanm/indonesian-financial-sentiment-analysis	https://huggingface.co/datasets/intanm/indonesian-financial-sentiment-analysis	intanm	2026-06-03T20:24:59.888357+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888357+00:00
hf-ghbacct-twitter-financial-news-sentiment-clustering	huggingface_dataset	ghbacct/twitter-financial-news-sentiment-clustering	https://huggingface.co/datasets/ghbacct/twitter-financial-news-sentiment-clustering	ghbacct	2026-06-03T20:24:59.888385+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888385+00:00
hf-ghbacct-twitter-financial-news-sentiment-classification	huggingface_dataset	ghbacct/twitter-financial-news-sentiment-classification	https://huggingface.co/datasets/ghbacct/twitter-financial-news-sentiment-classification	ghbacct	2026-06-03T20:24:59.888414+00:00	Matched Hugging Face dataset query 'financial sentiment' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:24:59.888414+00:00
hf-winterforeststump-10-k_sec_filings	huggingface_dataset	winterForestStump/10-K_sec_filings	https://huggingface.co/datasets/winterForestStump/10-K_sec_filings	winterForestStump	2026-06-03T20:25:00.172887+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:25:00.172887+00:00
hf-memgpt-example-sec-filings	huggingface_dataset	MemGPT/example-sec-filings	https://huggingface.co/datasets/MemGPT/example-sec-filings	MemGPT	2026-06-03T20:25:00.172948+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.	2026-07-05T22:21:50.861214+00:00	stale_gt_30_days	20260705T222150Z	2026-06-03T20:25:00.172948+00:00
